995.7,158.4,2593.2,20.3,171.4,892.3,5,64.8,932.3,22.4,439.7,2370.6,3103.1,13810,18.9,2874.8,9319.1,6638.9,18814,56729,1.0134e+06,1.4562e+05,72633,47022,103.2,21412,5274.9,2369.9,12533,2674.5,7.8,5589.8,3756,3911.6,4180.7,6.6,2805.4,1.5,33.5,1.1308e+06,7.5736e+05,4420.5,69.7,229.2,18.5,3271.1,6.3653e+07,3.565e+06,9920.8,2.5954e+05,1.6686e+07,883.6,264.3,1.3835e+05,91.9,80.9,9808.7,29.8,96,392.1,26776,32.8,1.2,1,6476.7,70.9,188.6,12.5,76283,3112.5,0
35.5,151.8,1820.9,19.4,124.9,500.4,0.8,49.7,396.5,8.9,539.6,2721.2,4705.1,14042,1,3850.3,6385.1,10780,30516,26443,8.0982e+05,1.562e+05,2.6929e+05,45286,321.5,13182,10743,361,28244,2590.3,51.7,4027.7,860.7,3013.4,16194,6.5,3859.6,19.3,52.7,8.4912e+06,4.7804e+05,33884,49.1,201.4,23.4,4914,5.7404e+05,2.7958e+06,5357.5,2.9857e+05,3.8421e+07,1099.8,94.4,97087,48.1,1.7,31238,19.7,42.9,449.1,12186,122,3,1.5,2873.5,136.1,74.2,7.9,82287,831.5,1
1640.2,249.7,1601.9,11.3,212.4,787.9,6,60.6,274.8,7.7,323.2,2122.7,6439.3,17292,14.4,3448.9,10480,4802.3,6416.9,32931,7.9262e+05,1.1481e+05,79693,29292,121.8,40568,28306,2921,4446.8,1197.2,5.6,2361.8,1440.4,1199.5,8377.6,6.8,69448,9.2,70,4.8459e+06,6.8481e+05,13918,85.8,317.6,26,1699.4,6.6672e+05,4.7265e+06,4828.8,1.2611e+05,8.5985e+06,1499.5,10.5,1.8407e+05,32.8,76,23596,12.2,19.9,504.3,1543.1,49.6,3.1,2.5,5035,104.8,164,12.2,49958,2922.2,0
28.6,388.1,3259.2,14,265.6,1671.5,3.5,204.2,501.5,17.4,312.6,1944.8,8443.9,7037.8,6.8,7070.8,8759.3,5356.6,5237,1.0143e+05,2.2295e+06,1.3864e+05,45750,1.028e+05,225.9,2.3146e+05,44633,1610.9,30837,2343.9,32.2,4878.3,8438.8,6193.6,3820.6,7.5,61456,7.3,39.5,9.4233e+06,8.0364e+05,45130,70.1,225,20.5,4037.1,1.0872e+06,5.0755e+06,6030.1,2.5245e+05,2.1082e+07,1298.9,80.3,1.7613e+05,42.2,0.9,30433,11.1,18.7,477.7,2819.2,338.6,31.8,46.1,10485,306.7,3.6,46.1,67394,4944.9,0
34.3,416.7,2628.9,50.5,482.2,2868,4.8,591,317.6,17.4,334.2,2328.8,6492.2,16390,1.5,2222,4752.8,24742,23263,1.076e+05,1.7412e+06,2.9606e+05,3.3133e+05,91286,58.8,4054.3,3056.1,3705.1,7751.9,58,144.8,5248.2,2611.1,4786.9,14017,8.9,12564,77.5,627.9,1.853e+07,7.4426e+05,29696,55.4,229.2,24,4991.2,2.6435e+06,6.516e+06,11561,4.1474e+05,8.025e+06,1882.5,83.1,47630,37.3,120.3,40122,13.7,43,512.2,23052,86,2.9,3.3,8843.6,93,4.1,28.1,52862,3681,0
40.3,194.8,1366.8,0.3,97.2,773.4,2.7,39.6,158.5,2.7,271.3,2161.6,2225,17696,4.9,1686.7,10086,6348.3,2954.9,75937,8.8347e+05,2.2248e+05,1.4016e+05,48240,606.6,1.1194e+05,34963,1298.9,6268.7,5895.4,8.1,2750.4,1432.6,2449.7,7710.9,7.5,19353,3.9,32.2,1.5331e+06,6.4165e+05,1616.1,70.1,225,17.5,75.8,1.8491e+06,5.0303e+06,3163.6,3.046e+05,1.511e+07,948.8,22.2,1.4259e+05,55.7,12.4,13492,16.4,23.1,566.8,18948,197.3,2.1,3.1,4654.9,76.6,87.4,7.9,42266,2631.4,1
30.1,282.9,1559.6,43,366.3,1905.1,3.9,57.4,166.9,16.5,272.9,2007.6,5443,12610,1.6,2290.1,10336,16712,8612.3,94404,8.2007e+05,1.6016e+05,4.9126e+05,50916,1594.5,4441.6,2451,2399.4,6328.5,64.6,20.2,778.6,796.7,2700.3,12468,5.6,6907.2,42.7,89.1,7.1862e+06,5.9956e+05,13948,40,217.7,17.7,3319.3,6.49e+05,5.1561e+06,9367.9,4.3987e+05,1.6029e+07,1299.5,15.8,1.3025e+05,48.1,54,27656,15.6,69.8,449.1,2615,95.2,25.8,54,9160.5,90.1,121.6,22.6,70518,4211.3,0
34.3,57.3,2127.1,11.7,198.1,641,10,277.4,480.8,5.9,712,3308.6,4064.1,19947,0.6,2066.7,13754,10112,28752,96978,1.8631e+06,2.5848e+05,1.655e+05,58816,366.7,10824,4117,4149,8213.2,2471.3,17.4,2072.3,3676.1,1991.6,6763.2,8.9,505.7,83.6,38,3.8596e+06,6.4043e+05,17449,69.7,229.2,24,13789,5.4377e+05,5.2465e+06,9948.2,3.0839e+05,2.4081e+07,1378.2,44.9,1.5874e+05,83.5,3978.8,17254,13.7,32.2,461.3,9878,23.6,2.9,2.5,1124.5,115.5,58.5,13.3,82774,1627.7,0
47.6,198.9,1397.3,1.3,196.9,1076.3,5.3,75.2,213.2,6,271.3,2056.8,3000.4,17518,5,9086.2,9040.3,14836,8118.8,61701,8.4836e+05,1.4207e+05,2.6874e+05,36641,304.2,1.102e+05,29747,840.2,23295,526.8,5.4,2350.7,1625.6,2149.8,14302,6.5,27098,5,53.9,4.0478e+06,7.032e+05,2607,110.5,244.5,22.9,3597.4,1.3006e+06,3.8427e+06,4321.7,2.8198e+05,1.7665e+07,1174.2,49.2,1.1169e+05,38.4,111,26374,19.6,41.6,566.8,10481,179.6,5.4,58.4,7329,106.1,57.6,9.5,98224,3287.8,1
58.4,258,3757.1,5.6,502.6,1920.9,4.6,93.6,754.6,6.4,353.1,2602.3,8809.3,15226,30.6,2809.6,12642,11749,22371,58327,1.5976e+06,2.582e+05,2.7532e+05,37147,161.2,54739,11149,1796.2,13209,562.1,7.8,8776.9,821,5720.6,18605,6.5,11710,2,67.5,3.1015e+06,8.909e+05,15896,41.8,217.7,18.4,9175.5,1.8192e+06,5.2933e+06,12029,4.4543e+05,2.6561e+07,2297.6,10.7,1.6269e+05,91.6,2,32714,11,69.8,524.3,2928.4,139.6,17,27.3,7929.5,477.1,133.1,31.5,93768,3500.4,0
